timestamp,x,y,z,qx,qy,qz,qw
637231091337732447, -0.0113839339, 0.0320156142, 0.4213242, -0.0385516621, 0.0152372317, 0.0101211257, 0.9990892
637231091337900741, -0.0127260741, 0.0424200036, 0.423864573, -0.044038225, 0.0152230784, 0.009718387, 0.998866558
637231091338065431, -0.0141997, 0.0532103367, 0.426380038, -0.0512313135, 0.0152110094, 0.0119070122, 0.9985
637231091338236422, -0.0157519877, 0.06423309, 0.428744733, -0.05644341, 0.0150596, 0.0138021009, 0.9981968
637231091338396528, -0.0175228734, 0.0748031, 0.430725366, -0.0578010865, 0.0149965789, 0.0145402336, 0.9981096
637231091338561649, -0.0193949379, 0.08590032, 0.432291448, -0.0558917671, 0.015228658, 0.0149878412, 0.9982082
637231091338726369, -0.0213264283, 0.09776598, 0.4339758, -0.05608907, 0.0156802926, 0.0144523978, 0.998198032
637231091338897643, -0.02332489, 0.1111456, 0.4357732, -0.0568946078, 0.0167223476, 0.0153908944, 0.9981215
637231091339077650, -0.0253582373, 0.124929756, 0.4371858, -0.0547207929, 0.0168002844, 0.0178047121, 0.9982016
637231091339232444, -0.0280148461, 0.138527974, 0.43797338, -0.0488871932, 0.0145834731, 0.0223396365, 0.998447955
637231091339395291, -0.0311003551, 0.153553993, 0.4381764, -0.0455576554, 0.0106634991, 0.0253952555, 0.998581946
637231091339560004, -0.0344209224, 0.17007108, 0.437960625, -0.0477866046, 0.00705040153, 0.0249722786, 0.9985205
637231091339732520, -0.0374624059, 0.188230515, 0.437558532, -0.0531299375, 0.00428455, 0.0242465455, 0.998284042
637231091339897281, -0.0404468961, 0.206709817, 0.43682164, -0.05642736, 0.00174804125, 0.0268662479, 0.998043656
637231091340066996, -0.0434469767, 0.22524175, 0.43568182, -0.0535356365, -0.0009813401, 0.0283914935, 0.9981618
637231091340226772, -0.04661109, 0.24368903, 0.433514565, -0.0456596725, -0.00323900743, 0.025657909, 0.998622239
637231091340401466, -0.0497291423, 0.263245761, 0.430670619, -0.0400975831, -0.00461168448, 0.021128837, 0.998961747
637231091340561208, -0.0530839227, 0.283661067, 0.4271773, -0.038571544, -0.00550235, 0.0183205567, 0.9990728
637231091340735934, -0.056366764, 0.304823339, 0.423206747, -0.0379052646, -0.00596853346, 0.0168405138, 0.9991216
637231091340900696, -0.0598007739, 0.325561821, 0.4189751, -0.0344429053, -0.00543799438, 0.0125617729, 0.999312937
637231091341063725, -0.06318826, 0.346155524, 0.414647043, -0.0276318435, -0.002685185, 0.00490102451, 0.999602556
637231091341228567, -0.06649, 0.365098268, 0.41010493, -0.0202722661, 0.00345937419, -0.00682328735, 0.9997652
637231091341393339, -0.0695912242, 0.3826263, 0.405498564, -0.0170586184, 0.0103371013, -0.01683601, 0.9996593
637231091341561373, -0.0733577162, 0.398444325, 0.4010021, -0.0177488066, 0.0151301315, -0.0144549366, 0.999623537
637231091341726136, -0.0774521, 0.414900362, 0.3970528, -0.02001606, 0.0161600523, -0.00492057, 0.999657
637231091341884568, -0.0813036, 0.432461053, 0.392995924, -0.02204555, 0.0154518327, -0.0002990199, 0.999637544
637231091342058886, -0.08480346, 0.449912131, 0.388832659, -0.024877131, 0.0122993924, -0.001139115, 0.999614239
637231091342223629, -0.087828964, 0.466304332, 0.3848938, -0.0233631972, 0.0112203695, -0.00308039947, 0.999659359
637231091342388395, -0.09010939, 0.480949342, 0.38089323, -0.0170164369, 0.0106714861, -0.00671708025, 0.9997757
637231091342555811, -0.0924673751, 0.4940502, 0.376143038, -0.009510138, 0.0110335406, -0.0105147269, 0.99983865
637231091342724884, -0.0947711542, 0.5057337, 0.370943457, -0.00123551406, 0.0119048012, -0.0134019805, 0.9998386
637231091342895745, -0.09705376, 0.5162754, 0.3651982, 0.00630006241, 0.0134334518, -0.015894575, 0.9997636
637231091343055681, -0.09929928, 0.5262508, 0.359638631, 0.0113195125, 0.0157173164, -0.017865859, 0.9996528
637231091343225449, -0.101428561, 0.535762846, 0.3540641, 0.0143849943, 0.0184230469, -0.019972425, 0.9995273
637231091343399572, -0.103520133, 0.5444962, 0.348342478, 0.0168147627, 0.02116625, -0.0231903438, 0.999365568
637231091343559317, -0.105576426, 0.552039, 0.34267503, 0.02086741, 0.0234867, -0.026536271, 0.999154031
637231091343731653, -0.107539609, 0.55832994, 0.337224364, 0.0271625873, 0.0253101382, -0.02887229, 0.9988934
637231091343886409, -0.109581761, 0.564002037, 0.3320276, 0.0343457274, 0.0269543082, -0.0309683, 0.9985664
637231091344056145, -0.111656457, 0.5684209, 0.326761633, 0.0405312739, 0.0279655568, -0.033500988, 0.998224854
637231091344225893, -0.11394389, 0.57215786, 0.3216185, 0.0471201129, 0.0284215752, -0.03525127, 0.997862339
637231091344395629, -0.11628183, 0.575101, 0.316672325, 0.0549425371, 0.0280032251, -0.03641349, 0.9974323
637231091344565403, -0.118584588, 0.5772526, 0.311799735, 0.06275643, 0.02743666, -0.0369815677, 0.996966
637231091344730073, -0.120772511, 0.579170942, 0.307268858, 0.06970487, 0.0272278786, -0.0369394831, 0.996511638
637231091344889857, -0.122942895, 0.58082056, 0.302942574, 0.0752276, 0.0276108216, -0.0365418866, 0.9961141
637231091345059567, -0.124975018, 0.581895, 0.299016953, 0.0806108043, 0.0277894717, -0.0359236822, 0.9957104
637231091345226544, -0.127019674, 0.582571864, 0.295165, 0.0868602842, 0.02778494, -0.035720136, 0.99519217
637231091345391293, -0.12908347, 0.5829972, 0.2916904, 0.09361573, 0.0275776088, -0.03540588, 0.9945964
637231091345558558, -0.13116093, 0.5827795, 0.28824845, 0.09980886, 0.0272634048, -0.0340938047, 0.9940486
